sgRNA	Gene	BeadSP	BeadDN	BeadDP	CcSP	CcDN	CcDP	Plasmid5kCTRL
ADIPOQ_02	ADIPOQ	198.37141367019376	206.9939412481833	218.5321096362111	351.88884594193826	176.05234205966516	100.57930212869181	187.03864494363742
FOXP3_04	FOXP3	268.53772156227103	255.8675107095599	100.12743932422762	64.77953754840227	128.8630544972807	267.0553884106644	210.48663833307302
ACKR4_01	ACKR4	343.0352830279333	235.16811658474157	254.2919093948638	426.2653520160298	275.8758349800939	1564.1815606910345	172.31548630375926
DEFB127_03	DEFB127	269.40397227698804	200.66912637671103	177.20967435954572	74.3765060740915	177.86731465821842	114.4523093188562	183.22152974070605
BSN_02	BSN	257.27646227095	242.64289779648152	239.19332727454378	151.1522542796053	137.93791749004694	4158.433905251775	206.1242209582943
ENPEP_03	ENPEP	212.2314251056658	343.8399357400378	146.21784790204669	279.91158199926906	194.20206804519768	93.64279853360961	152.68460811725504
EDEM1_02	EDEM1	327.44277016302726	289.21653457732276	214.55879855191634	171.9456860852653	695.1345052458945	1089.0310644279043	156.50172332018641
NFAM1_04	NFAM1	105.68258719547441	194.34431150523875	119.99399474570137	323.8976877420114	1537.281790974602	187.28559706721921	194.12757317765283
PSMB10_01	PSMB10	319.6465137305742	177.09481640122348	205.02285194960896	69.57802181124688	34.484479372511736	218.4998632450891	206.66952313014164
MICA_02	MICA	197.50516295547675	175.9448500609558	201.84420308217315	69.57802181124688	620.7206287052112	0.0	173.95139281930128
CANX_02	CANX	171.51764151396665	164.44518665827894	228.0680562385185	103.96715902829995	54.449177956597474	76.30153954590412	215.39435787969907
KCNA3_01	KCNA3	407.13783591699155	248.9677126679538	350.4460376347967	1722.6558503612162	869.3718747070063	9374.684608753585	175.5872993348433
STIM1_02	STIM1	179.3138979464197	163.29522031801127	89.7968305050613	94.37019050261073	199.6469858408574	3263.624941486172	156.50172332018641
TNFRSF13C_04	TNFRSF13C	258.142712985667	128.7962301099807	231.24670510595428	100.76816951973687	136.1229448914937	232.37287043525347	155.95642114833907
PSME3_03	PSME3	232.15519154415688	421.46266370810656	171.6470388415331	19.99368442851922	9.074862992766246	17.341258987705483	141.77856468030825
BTRC_04	BTRC	234.7539436883079	331.1903059970933	281.3104247680681	529.432763667189	310.3603143526056	8504.15340757077	168.49837110082788
PSMD7_03	PSMD7	249.48020583849694	140.29589351265756	263.0331937803123	9.596968525689226	0.0	10.40475539262329	157.5923276638811
MYBL2_02	MYBL2	148.99512293132457	110.39676866569775	301.9716424064008	194.33861264520684	92.5636025262157	1571.1180642861168	194.12757317765283
USP14_01	USP14	246.88145369434594	324.29050795548716	181.18298544384047	81.57423246835842	5.444917795659748	97.11105033115071	213.21314919230971
ST3GAL1_02	ST3GAL1	237.35269583245892	127.07128059957918	328.19549556274615	271.9141082278614	134.30797229294043	815.0391724221578	169.58897544452256
CAPN2_01	CAPN2	258.142712985667	245.51781364715075	214.55879855191634	466.2527208730682	270.4309171844341	638.1583307475618	193.5822710058055
ACKR3_02	ACKR3	274.60147656529006	237.46804926527693	440.242868139858	293.5072874106622	393.84905388605506	86.70629493852742	172.31548630375926
ACVR1_03	ACVR1	167.18638794038165	115.57161719690234	200.25487864845525	33.58938983991229	9.074862992766246	65.89678415328083	134.68963644629284
PVR_02	PVR	187.97640509358973	303.5911138306688	382.2325263091547	15.195200165674608	59.89409575225722	10.40475539262329	156.50172332018641
GOT2_02	GOT2	106.54883791019141	251.842628518623	181.18298544384047	420.6671203760444	401.1089442802681	613.8805681647741	165.77186024159118
