"","Gene","CcSP_neg.lfc","CcDN_neg.lfc","CcDP_neg.lfc","BeadSP_neg.lfc","BeadDN_neg.lfc","BeadDP_neg.lfc"
"1","NT_63",-6.9318,-7.4771,-7.0236,1.2937,1.3275,0.91792
"2","RGS2",-4.6976,-2.2991,-6.8648,-0.0022791,0.41333,0.0003876
"3","ARSB",-4.2051,0.16514,-4.9249,-0.39793,-0.046227,-0.50449
"4","PFDN5",-3.8833,-3.7497,-6.9532,-0.84902,-0.64475,-0.81868
"5","CORO1A",0.13187,0.22498,4.4176,-0.91602,-0.96443,-0.73419
"6","MYC",-2.2745,-2.2559,-3.7654,-0.94314,-1.5669,-0.86305
"7","SLC5A5",-3.8311,-3.7379,-0.36204,-0.68706,0.25113,-0.47754
"8","PYHIN1",-3.2655,-1.1563,0.25274,0.032839,-0.025817,0.36264
"9","ZNF574",-3.0906,-2.6906,-3.3249,-0.1531,-0.057561,-0.82651
"10","PTK2",-2.5056,-0.86996,-3.0119,0.0031348,-0.38626,0.18072
"11","CABIN1",-3.9177,-1.8613,-3.8942,-0.22174,-0.50397,-0.73071
"12","CCDC112",0.58669,-0.10887,-0.033497,0.20389,0.28244,-0.21179
"13","DOK2",-2.6922,-2.8497,-4.6761,-0.51983,-0.44869,-0.50211
"14","CCL5",-2.2118,0.029704,-5.9862,-0.39517,-0.16439,-0.42172
"15","NPTN",-0.010723,0.85593,2.382,-0.88915,0.085623,0.1384
"16","ENPEP",-3.5328,-0.62161,-2.6806,0.30888,0.66724,-0.35416
"17","PLCG1",-3.7919,-2.2707,-6.822,-0.50034,-0.080683,0.6027
"18","TGFBR1",-2.8319,-1.7445,-4.2645,-0.15581,0.23221,0.23543
"19","MED30",-3.3719,-1.778,-2.1643,-0.61737,-0.75829,0.13667
"20","ITGA2B",-2.115,-1.9498,-3.5788,0.37575,-0.37209,-0.58137
"21","NFKB2",-3.2294,-1.4436,-2.2372,0.088464,0.080295,0.26307
